지하철역,지역,위도,경도
각산역,대구,35.86798721,128.7242405
교대역,대구,35.85063736,128.5905762
대곡역,대구,35.80955835,128.5127572
대구역,대구,35.87593813,128.5962637
대명역,대구,35.83931822,128.5659359
동대구역역,대구,35.87755008,128.6278968
동촌역,대구,35.88605791,128.6502625
명덕역,대구,35.85782162,128.5910961
반야월역,대구,35.8659589,128.7135908
반월당역,대구,35.86449649,128.5933329
방촌역,대구,35.87963695,128.6701708
상인역,대구,35.81891945,128.5377634
설화명곡역,대구,35.79871233,128.4893441
성당못역,대구,35.83717922,128.5571731
송현역,대구,35.83103182,128.5517191
신기역,대구,37.34592726,129.0849767
신천역,대구,35.87467603,128.6178511
아양교역,대구,35.88719084,128.639921
안심역,대구,35.87120227,128.7337651
안지랑역,대구,35.83921644,128.5737252
영대병원역,대구,35.8441464,128.5880559
용계역,대구,35.87610149,128.6820102
월배역,대구,35.81616596,128.5303859
월촌역,대구,35.82368686,128.5454682
율하역,대구,35.86978751,128.6927044
중앙로역,대구,35.87085011,128.5939694
진천역,대구,35.81387994,128.5230621
칠성시장역,대구,35.87609037,128.6051246
큰고개역,대구,35.88403763,128.6319274
해안역,대구,35.88353221,128.6596002
현충로역,대구,35.84093518,128.5814621
화원역,대구,35.80446456,128.5007131
감삼역,대구,35.85430996,128.5481213
강창역,대구,35.85307809,128.4785162
경대병원역,대구,35.86314374,128.6028929
계명대역,대구,35.85150761,128.4918363
고산역,대구,35.84292626,128.6932401
내당역,대구,35.86011562,128.5646401
다사역,대구,35.86482299,128.458386
담티역,대구,35.85477351,128.653975
대공원역,대구,35.84269794,128.6799764
대구은행역,대구,35.85974933,128.6141159
대실역,대구,35.85760226,128.4652499
두류역,대구,35.85720409,128.5556828
만촌역,대구,35.85884731,128.6447389
문양역,대구,35.86414371,128.4369847
반고개역,대구,35.86224495,128.5727191
반월당역,대구,35.86449649,128.5933329
범어역,대구,35.85901968,128.6267872
사월역,대구,35.83702642,128.7152922
성서산업단지역,대구,35.85171507,128.5069827
수성구청역,대구,35.85879135,128.6356384
신남역,대구,35.86419088,128.5823669
신매역,대구,35.84079369,128.7051252
연호역,대구,35.84658057,128.6716687
영남대역,대구,35.83619751,128.7527455
용산역,대구,35.84906031,128.5288041
이곡역,대구,35.85059492,128.5157944
임당역,대구,35.83411783,128.7408368
정평역,대구,35.8340413,128.7286623
죽전역,대구,35.850717,128.5387979
건들바위역,대구,35.85538264,128.5996815
공단역,대구,35.89197939,128.5535944
구암역,대구,35.92574234,128.5503326
남산역,대구,35.85669699,128.5834577
달성공원역,대구,35.87567517,128.582086
대봉교역,대구,35.85498714,128.6063594
동천역,대구,35.93769938,128.5566828
만평역,대구,35.88982823,128.5610385
매천역,대구,35.91267488,128.5434089
매천시장역,대구,35.90435451,128.5457284
명덕역,대구,35.85782162,128.5910961
범물역,대구,35.82082848,128.6401036
북구청역,대구,35.88374007,128.5814269
서문시장역,대구,35.8696536,128.5822319
수성구민운동장역,대구,35.85240979,128.6251246
수성못역,대구,35.83134891,128.6232121
수성시장역,대구,35.85431688,128.6160204
신남역,대구,35.86419088,128.5823669
어린이회관역,대구,35.84515548,128.6244674
용지역,대구,35.81825339,128.6465342
원대역,대구,35.88783407,128.5743546
지산역,대구,35.82513898,128.6319377
칠곡경대병원역,대구,35.95838399,128.5598818
칠곡운암역,대구,35.93145546,128.5545216
태전역,대구,35.91963411,128.5474216
팔거역,대구,35.94403995,128.5583365
팔달역,대구,35.89783532,128.5467313
팔달시장역,대구,35.88883818,128.5678629
학정역,대구,35.95154431,128.5591932
황금역,대구,35.83907142,128.6239007